lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
8.25,77.0,1368.7098,409.68338,0.29932085,253.05128205128204,0.4871794871794871,0.1428087970622193,0.9715626814305351,0.5446813912385853,0.9826800364692386,0.6403395968413264,High,0.7069575816532392
8.25,77.25,1163.1,317.94876,0.27336323,265.87179487179486,0.4871794871794871,0.120985251856677,0.9758626051457768,0.4812135059916638,0.9826800364692386,0.6221739371590898,High,0.3898835067724477
8.25,77.5,749.88873,343.41086,0.45794907,313.0769230769231,0.282051282051282,0.077126764419383,0.9452856481322373,0.2475247525124987,0.9899726526927172,0.5564575550345532,Moderate,-0.7571687572873904
8.25,77.75,758.4992,328.97153,0.43371373,294.1025641025641,0.2564102564102564,0.078040684773792,0.9493002732485978,0.3414572226779427,0.990884229720652,0.5767497757100386,Moderate,-0.4029764399971976
8.5,76.75,1833.1769,363.57733,0.19833183,233.2051282051282,0.8205128205128205,0.1921076084677901,0.9882916836301592,0.6429296776008198,0.9708295351060862,0.6759985227445624,Critical,1.3293693817084506
8.5,77.0,1656.483,407.7652,0.24616322,227.33333333333337,0.358974358974359,0.1733532139097799,0.98036833286865,0.6719979690439095,0.9872379216089128,0.6783071216011065,Critical,1.3696650197152205
8.5,77.25,1534.6888,318.9736,0.20784253,221.94871794871796,0.3333333333333333,0.1604259058268342,0.9867162200676852,0.6986544808476167,0.9881494986368476,0.6815750975937067,Critical,1.4267061887512993
8.5,77.5,815.67255,396.00958,0.4855007,304.84615384615387,0.4871794871794871,0.0841090977982553,0.9407216739608546,0.2882711348410223,0.9826800364692386,0.5637373839152043,Moderate,-0.6301023557363329
8.5,77.75,775.97687,340.28146,0.4385201,303.15384615384613,0.358974358974359,0.0798957749559358,0.9485040899179524,0.2966488956936162,0.9872379216089128,0.5672340145072202,Moderate,-0.5690701152585785
8.5,78.0,759.824,377.29977,0.4965621,308.56410256410254,0.5128205128205128,0.0781812998256441,0.9388893343170902,0.2698654481194154,0.981768459441304,0.5575919280111749,Moderate,-0.7373687462542761
8.75,76.5,1913.0118,436.02594,0.22792642,234.10256410256412,0.7948717948717948,0.2005813317491218,0.983389289674787,0.638486925633535,0.9717411121340208,0.6766543851036455,Critical,1.340817187865403
8.75,76.75,1948.9087,647.83984,0.3324116,212.6153846153846,0.5384615384615384,0.2043914498460648,0.96608114265001,0.7448591013073755,0.980856882413369,0.6970237614811394,Critical,1.6963562260159477
8.75,77.0,1547.9862,468.90192,0.30291092,228.53846153846155,0.2307692307692307,0.1618372996904349,0.970967980254835,0.6660319878306991,0.9917958067485868,0.6724485342241258,Critical,1.267405800663521
8.75,77.25,1095.7365,336.37814,0.30698818,281.5897435897436,0.4871794871794871,0.1138352503127158,0.970292575230522,0.4034018786789379,0.9826800364692386,0.6030741037545425,High,0.0565038160229832
8.75,77.5,745.55457,350.82437,0.47055492,298.1025641025641,0.1025641025641025,0.0766667341256516,0.9431974677302674,0.3216552424809032,0.9963536918882608,0.5722188586385082,Moderate,-0.4820617231054084
8.75,77.75,732.87,301.0972,0.41084668,298.35897435897436,0.282051282051282,0.0753203863989972,0.9530882388091004,0.3203858847759646,0.9899726526927172,0.5724385157503464,Moderate,-0.4782276990872658
8.75,78.0,757.8469,309.40405,0.4082672,311.84615384615387,0.5384615384615384,0.0779714492678113,0.9535155340397492,0.2536176694962032,0.980856882413369,0.5577080727928636,Moderate,-0.7353414871373278
9.0,76.5,2272.5217,424.17462,0.18665372,205.5897435897436,0.8205128205128205,0.2387399241629561,0.9902261823298938,0.7796395024226885,0.9708295351060862,0.7178138070924196,Critical,2.059237871617408
9.0,76.75,2454.019,823.62085,0.3356212,220.10256410256412,0.9230769230769232,0.2580041544245189,0.96554946697418,0.7077938563231734,0.9671832269943468,0.702143191084122,Critical,1.7857137519014703
9.0,77.0,2089.591,704.0048,0.33691034,237.89743589743588,0.9487179487179488,0.2193235519816131,0.965335918749872,0.6197004316004465,0.966271649966412,0.6726390440936443,Critical,1.2707310716247684
9.0,77.25,979.8834,409.40167,0.4178065,273.87179487179486,0.1538461538461538,0.1015385340810371,0.9519353328388376,0.4416095455975848,0.9945305378323912,0.6053999370116353,High,0.097100273361706
9.0,77.5,778.6978,360.6065,0.46308914,286.71794871794873,0.1025641025641025,0.0801845760678289,0.944434186831432,0.3780147245801694,0.9963536918882608,0.5848552874163058,Moderate,-0.2614980862981451
9.0,77.75,738.34576,339.0622,0.4592187,291.12820512820514,0.1025641025641025,0.0759015867887388,0.9450753317724714,0.3561817720552284,0.9963536918882608,0.5793640863628504,Moderate,-0.3573447290551569
9.0,78.0,1017.5802,494.40033,0.48585883,273.2307692307692,0.282051282051282,0.1055396946235029,0.94066234911982,0.4447829398599309,0.9899726526927172,0.6032772468121713,High,0.0600495940565272
