lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
8.75,77.75,732.87,301.0972,0.41084668,298.35897435897436,0.282051282051282,0.07532038639899721,0.9530882388091004,0.32038588477596464,0.9899726526927171,0.5724385157503464,Moderate,-0.47822769908726587
8.75,78.0,757.8469,309.40405,0.4082672,311.84615384615387,0.5384615384615384,0.07797144926781138,0.9535155340397491,0.25361766949620324,0.980856882413369,0.5577080727928636,Moderate,-0.7353414871373278
9.0,76.5,2272.5217,424.17462,0.18665372,205.5897435897436,0.8205128205128205,0.2387399241629561,0.9902261823298938,0.7796395024226885,0.9708295351060862,0.7178138070924196,Critical,2.059237871617408
9.0,76.75,2454.019,823.62085,0.3356212,220.10256410256412,0.9230769230769232,0.2580041544245189,0.9655494669741801,0.7077938563231734,0.9671832269943469,0.702143191084122,Critical,1.7857137519014703
9.0,77.0,2089.591,704.0048,0.33691034,237.89743589743588,0.9487179487179488,0.21932355198161313,0.9653359187498719,0.6197004316004465,0.9662716499664121,0.6726390440936443,Critical,1.2707310716247684
9.0,77.25,979.8834,409.40167,0.4178065,273.87179487179486,0.1538461538461538,0.10153853408103718,0.9519353328388376,0.4416095455975848,0.9945305378323912,0.6053999370116353,High,0.09710027336170604
9.0,77.5,778.6978,360.6065,0.46308914,286.71794871794873,0.1025641025641025,0.0801845760678289,0.9444341868314321,0.3780147245801694,0.9963536918882607,0.5848552874163058,Moderate,-0.26149808629814514
9.0,77.75,738.34576,339.0622,0.4592187,291.12820512820514,0.1025641025641025,0.07590158678873885,0.9450753317724714,0.3561817720552284,0.9963536918882607,0.5793640863628504,Moderate,-0.3573447290551569
9.0,78.0,1017.5802,494.40033,0.48585883,273.2307692307692,0.282051282051282,0.10553969462350299,0.9406623491198199,0.4447829398599309,0.9899726526927171,0.6032772468121713,High,0.0600495940565272
9.25,76.25,2627.5713,459.25723,0.17478393,210.46153846153845,0.8461538461538461,0.2764250977092059,0.9921924331462605,0.7555217060288584,0.9699179580781513,0.7245594683246364,Critical,2.1769805978425314
9.25,76.5,2658.3093,514.6825,0.19361272,194.6153846153846,0.6153846153846154,0.27968764712332894,0.9890734121940197,0.8339680121940534,0.9781221513295646,0.7424987874567055,Critical,2.4901039920539865
9.25,76.75,2869.183,728.74457,0.25399026,198.5897435897436,1.205128205128205,0.3020699057735001,0.9790717704366495,0.8142929677675077,0.9571558796870641,0.7375364778164799,Critical,2.4034889301201146
9.25,77.0,1369.8093,594.16077,0.43375435,231.76923076923077,0.2051282051282051,0.14292549863944715,0.949293544476803,0.6500380807484749,0.9927073837765216,0.6583854978048602,Critical,1.0219413176415373
9.25,77.25,1006.7434,485.74762,0.48249397,284.4102564102564,0.2564102564102564,0.10438947029235038,0.9412197438776008,0.3894389439246153,0.9908842297206519,0.5922306232721914,Moderate,-0.13276465000423365
9.25,77.5,812.84534,400.91147,0.49321985,285.05128205128204,0.1282051282051282,0.0838090160645998,0.9394429836900784,0.3862655496622692,0.995442114860326,0.5861170893894349,Moderate,-0.23947385484654052
9.25,77.75,980.66327,473.3283,0.4826614,296.2307692307692,0.6923076923076923,0.10162130994191271,0.9411920088145387,0.33092155372695375,0.9753874202457602,0.5758155609930393,Moderate,-0.419282771411202
9.25,78.0,689.2772,385.65094,0.55950046,296.5897435897436,0.1282051282051282,0.07069342094581275,0.9284634883896741,0.3291444529400399,0.995442114860326,0.5680133176842518,Moderate,-0.5554677006900303
9.25,78.25,779.03955,376.8939,0.48379302,297.3333333333333,0.3076923076923077,0.08022084961400225,0.9410045540450088,0.3254633155957185,0.9890610756647823,0.5716753254307921,Moderate,-0.49154887039420625
9.25,78.5,827.7137,345.8273,0.4178103,297.53846153846155,0.2307692307692307,0.08538715254735635,0.9519347033624019,0.32444782943176764,0.9917958067485867,0.5764383391783076,Moderate,-0.4084124358217404
9.25,78.75,945.0638,321.92178,0.34063497,296.97435897435895,0.2564102564102564,0.0978427612402538,0.9647189274822787,0.32724041638263235,0.9908842297206519,0.5837017009493353,Moderate,-0.28163346085695323
9.25,79.25,1031.6622,257.03992,0.24915123,300.1025641025641,0.4358974358974359,0.10703436639296361,0.9798733639516083,0.3117542523823835,0.9845031905251083,0.5855552990135449,Moderate,-0.24927967345308613
9.5,76.25,2764.9338,364.25137,0.13173963,196.8205128205128,1.0,0.2910048343185324,0.9993227943417775,0.823051535931583,0.9644484959105425,0.7428545800449563,Critical,2.4963142044956177
9.5,76.5,2840.2998,572.50555,0.20156519,187.02564102564105,0.8974358974358975,0.2990042259232171,0.987756072070089,0.8715410002602307,0.9680948040222817,0.752972186852104,Critical,2.6729128458056794
9.5,76.75,3543.492,1011.46814,0.2854439,189.2051282051282,3.58974358974359,0.37364145996986636,0.9738614217002602,0.8607514597682542,0.8723792160891268,0.7458028893919575,Critical,2.5477757244742687
9.5,77.0,2396.6008,853.9395,0.35631278,206.07692307692307,0.8205128205128205,0.2519097528769231,0.9621218717035882,0.7772277227833055,0.9708295351060862,0.7142563221221566,Critical,1.9971434431419333
9.5,77.25,1044.236,576.1462,0.55173945,269.9230769230769,0.2051282051282051,0.10836895692661255,0.9297491128403451,0.46115765425363664,0.9927073837765216,0.6053563420829278,High,0.09633934191571222
9.5,77.5,966.0331,408.11502,0.42246485,285.28205128205127,0.282051282051282,0.10006845508596825,0.9511636692718813,0.38512312772782464,0.9899726526927171,0.5923292425625051,Moderate,-0.13104329108919405
9.5,77.75,898.1199,348.71347,0.38827053,287.5128205128205,0.1282051282051282,0.09286010806042261,0.9568280162919303,0.3740797156948603,0.995442114860326,0.5907415083451629,Moderate,-0.158756535030047
9.5,78.0,857.26855,353.44284,0.41228953,292.7435897435897,0.1282051282051282,0.08852412172401047,0.9528492282629665,0.3481848185141164,0.995442114860326,0.5832670360008495,Moderate,-0.28922035771812254
9.5,78.25,836.4488,350.22296,0.41870221,290.3076923076923,0.1025641025641025,0.08631430120332961,0.9517869569603488,0.3602437167110314,0.9963536918882607,0.5849781959153575,Moderate,-0.2593527692926791
9.5,78.5,862.97675,324.5337,0.37606308,286.9230769230769,0.0769230769230769,0.08912999343217944,0.9588502010591633,0.37699923841621874,0.9972652689161956,0.5911677132067373,Moderate,-0.1513173054860989
9.5,78.75,953.7987,287.29938,0.30121595,290.20512820512823,0.1794871794871795,0.09876988866810935,0.9712487549059633,0.3607514597930066,0.9936189608044563,0.592998187486639,Moderate,-0.11936713417134873
9.5,79.0,1004.4955,278.82806,0.2775802,291.05128205128204,0.3076923076923077,0.10415087686310946,0.9751640569233486,0.35656257936671,0.9890610756647823,0.5936140620793076,Moderate,-0.10861729793479764
9.5,79.25,1010.4329,262.31512,0.25960666,292.6923076923077,0.358974358974359,0.10478107599419849,0.9781414042646244,0.3484386900551041,0.9872379216089127,0.5924668922776646,Moderate,-0.1286406722547961
9.75,76.25,2955.8103,709.5095,0.24003892,225.1282051282051,2.2564102564102564,0.3112645783892221,0.9813828335358626,0.6829144453063802,0.9197812215417368,0.7052532763474426,Critical,1.8399990035751017
9.75,76.5,3103.9326,656.1611,0.2113967,193.94871794871796,0.8974358974358975,0.32698636650437474,0.9861274657877859,0.8372683422268932,0.9680948040222817,0.7541051458492078,Critical,2.6926881764112536
9.75,76.75,3256.264,814.4901,0.25013027,181.4102564102564,1.8461538461538465,0.3431549109712413,0.9797111843174905,0.8993399339983825,0.9343664539886938,0.7613338696675949,Critical,2.8188625602419215
9.75,77.0,1828.6559,810.52856,0.44323733,215.10256410256412,0.5128205128205128,0.19162774686647419,0.947722672779276,0.7325463315694727,0.9817684594413039,0.6863703734289818,Critical,1.5104057447192472
9.75,77.25,1000.0064,631.82904,0.631825,258.3333333333333,0.1282051282051282,0.10367440114657164,0.9164828058486729,0.5185326225168536,0.995442114860326,0.6127900750245919,High,0.22609207518385102
9.75,77.5,1179.3097,474.0214,0.40194818,256.2564102564103,0.1282051282051282,0.1227057589566221,0.9545622904047427,0.5288144199268547,0.995442114860326,0.6300757129886247,High,0.5278057350257479
