lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
9.75,78.75,874.52185,363.77274,0.41596758,304.1794871794872,0.2564102564102564
10.0,76.0,2954.0776,568.196,0.19234294,201.8205128205128,1.4102564102564104
10.0,76.25,2994.7866,582.4229,0.19447893,200.51282051282053,1.6666666666666667
10.0,76.5,3143.6167,620.80554,0.1974813,191.53846153846155,1.0256410256410255
10.0,76.75,3401.5432,910.2145,0.26758868,177.87179487179486,2.4358974358974357
10.0,77.0,2671.487,1182.6543,0.4426951,197.64102564102564,1.6153846153846154
10.0,77.25,864.2504,533.8937,0.61775345,276.2564102564103,0.1025641025641025
10.0,77.5,912.7572,461.67584,0.5058036,294.84615384615387,0.1538461538461538
10.0,77.75,967.3211,345.35538,0.35702246,289.4102564102564,0.2564102564102564
10.0,78.0,891.59357,360.09943,0.40388292,291.28205128205127,0.0769230769230769
10.0,78.25,898.46185,323.44247,0.35999578,279.2307692307692,0.0512820512820512
10.0,78.5,962.80145,372.63623,0.3870333,279.8205128205128,0.1025641025641025
10.0,78.75,991.34406,339.4458,0.34240967,280.05128205128204,0.1282051282051282
10.0,79.0,1023.0574,323.80197,0.3165042,291.6666666666667,0.4615384615384615
10.25,76.0,2989.8289,702.8031,0.23506466,211.89743589743588,1.6923076923076923
10.25,76.25,2983.891,571.7168,0.1916011,210.6153846153846,1.564102564102564
10.25,76.5,3060.219,862.5624,0.28186294,194.46153846153845,1.6153846153846154
10.25,76.75,3424.2986,1134.2211,0.33122727,198.15384615384616,3.1538461538461537
10.25,77.0,2183.8027,1255.505,0.57491684,203.46153846153845,1.1794871794871795
10.25,77.25,1419.9417,361.99963,0.2549398,241.30769230769232,0.4358974358974359
10.25,77.5,1144.9479,487.75037,0.42600223,275.87179487179486,0.5641025641025641
10.25,77.75,920.34576,298.7643,0.32462183,278.05128205128204,0.1282051282051282
10.25,78.0,1013.20404,346.35214,0.34183848,277.87179487179486,0.2051282051282051
10.25,78.25,845.52704,368.80728,0.43618625,279.1794871794872,0.0
10.25,78.5,982.73627,362.47717,0.3688448,277.3076923076923,0.1538461538461538
10.25,78.75,947.7861,412.48883,0.435213,294.46153846153845,0.1794871794871795
10.25,79.0,1039.9127,392.06073,0.37701312,294.2564102564103,0.5897435897435898
10.25,79.25,1231.1049,299.3449,0.24315143,281.79487179487177,0.6666666666666666
10.5,76.0,2767.5186,586.38916,0.21188265,223.48717948717947,1.794871794871795
10.5,76.25,2649.5156,555.1142,0.20951535,218.8205128205128,0.9487179487179488
10.5,76.5,1926.5059,435.33328,0.22597039,226.51282051282053,0.358974358974359
10.5,76.75,2023.8638,723.71533,0.35759094,220.02564102564105,0.5897435897435898
10.5,77.0,882.99036,500.20145,0.56648576,271.84615384615387,0.0769230769230769
10.5,77.25,693.23145,482.5723,0.69612,301.97435897435895,0.1538461538461538
10.5,77.5,866.67206,404.1457,0.46631905,295.15384615384613,0.3333333333333333
10.5,77.75,840.3003,329.98624,0.39270037,296.12820512820514,0.2051282051282051
10.5,78.0,651.60535,371.2459,0.5697404,306.8974358974359,0.0256410256410256
10.5,78.25,761.1691,408.24792,0.5363433,303.6666666666667,0.1025641025641025
10.5,78.5,909.1719,360.0664,0.3960378,288.9230769230769,0.1282051282051282
10.5,78.75,905.60144,412.19302,0.45515943,300.6923076923077,0.358974358974359
10.5,79.0,957.28516,407.18732,0.42535636,285.15384615384613,0.4102564102564102
10.5,79.25,1160.1522,337.63635,0.29102764,283.7692307692308,0.4615384615384615
10.5,79.5,1365.2195,402.17203,0.29458416,281.12820512820514,0.9743589743589745
10.5,79.75,1450.561,378.00287,0.2605908,279.97435897435895,1.564102564102564
10.75,75.75,2757.927,528.784,0.1917324,236.35897435897436,1.9230769230769231
10.75,76.0,2550.363,482.62134,0.18923633,225.15384615384616,0.9743589743589745
10.75,76.25,2410.3403,514.776,0.21356983,235.35897435897436,0.7948717948717948
10.75,76.5,1862.6672,381.44824,0.20478603,253.51282051282053,0.5384615384615384
10.75,76.75,1399.02,404.3682,0.28903675,235.53846153846155,0.0769230769230769
10.75,77.0,706.74677,318.53418,0.45070484,290.3333333333333,0.0256410256410256
10.75,77.25,1213.3535,1226.5507,1.0108765,292.53846153846155,1.051282051282051
10.75,77.5,710.0688,393.1758,0.5537151,309.05128205128204,0.2307692307692307
10.75,77.75,703.48785,351.50928,0.49966645,316.43589743589746,0.2307692307692307
10.75,78.0,658.2355,384.7259,0.58448064,305.3076923076923,0.1794871794871795
10.75,78.25,817.32355,361.10245,0.4418109,290.79487179487177,0.1538461538461538
10.75,78.5,881.78784,339.7091,0.3852504,299.20512820512823,0.3846153846153846
10.75,78.75,940.1257,353.5482,0.3760648,288.12820512820514,0.3333333333333333
10.75,79.0,1080.4163,423.5541,0.39202863,286.79487179487177,0.7948717948717948
10.75,79.25,1186.8472,391.97107,0.33026245,294.2307692307692,0.7435897435897436
10.75,79.5,1388.2318,376.88174,0.2714833,284.38461538461536,1.4615384615384617
10.75,79.75,1511.7213,370.25644,0.24492374,281.20512820512823,1.7179487179487178
11.0,75.75,2880.7327,419.69278,0.14568959,210.48717948717947,1.3333333333333333
11.0,76.0,2708.147,415.19885,0.15331474,220.92307692307693,1.051282051282051
11.0,76.25,2384.0269,674.7149,0.2830148,226.28205128205127,0.9487179487179488
11.0,76.5,1645.8181,547.15204,0.33244988,227.84615384615384,0.1794871794871795
11.0,76.75,650.95575,299.79062,0.46053916,297.05128205128204,0.0256410256410256
11.0,77.0,635.3698,299.0909,0.47073516,306.0,0.2307692307692307
11.0,77.25,709.40186,315.10605,0.44418555,296.79487179487177,0.1025641025641025
11.0,77.5,690.3085,259.54123,0.37597862,296.8974358974359,0.1025641025641025
11.0,77.75,651.5046,232.02829,0.35614222,302.1794871794872,0.1025641025641025
11.0,78.0,697.4435,205.4242,0.29453883,297.46153846153845,0.1282051282051282
11.0,78.25,708.7746,279.6553,0.39456168,302.8205128205128,0.1794871794871795
11.0,78.5,773.8716,336.40216,0.43470025,297.6923076923077,0.1538461538461538
11.0,78.75,909.99426,343.7796,0.37778217,298.28205128205127,0.4358974358974359
11.0,79.0,952.58594,467.62177,0.4908972,288.05128205128204,0.5641025641025641
11.0,79.25,1240.5282,363.286,0.29284784,287.87179487179486,1.1538461538461535
11.0,79.5,1296.7302,368.74225,0.28436312,280.64102564102564,1.1025641025641026
11.0,79.75,1266.4004,450.22592,0.35551625,285.38461538461536,1.1538461538461535
11.25,75.75,3077.8213,468.7596,0.15230241,217.05128205128204,2.358974358974359
11.25,76.0,2573.3042,464.2771,0.1804206,220.10256410256412,1.1538461538461535
11.25,76.25,2384.6074,531.38544,0.2228398,203.51282051282053,0.9487179487179488
11.25,76.5,1312.4012,506.04025,0.3855835,258.8205128205128,0.4102564102564102
11.25,76.75,1126.9521,555.42487,0.49285576,265.87179487179486,0.5384615384615384
11.25,77.0,2012.9885,1233.7902,0.6129147,238.2051282051282,0.8205128205128205
11.25,77.25,688.9206,238.67145,0.3464426,289.84615384615387,0.0256410256410256
11.25,77.5,706.03357,204.30324,0.2893676,293.84615384615387,0.0256410256410256
11.25,77.75,667.2588,201.49336,0.30197182,296.64102564102564,0.0256410256410256
11.25,78.0,790.2321,207.82861,0.2629969,297.2307692307692,0.1282051282051282
11.25,78.25,746.93225,234.39876,0.3138153,282.15384615384613,0.0256410256410256
11.25,78.5,842.6816,291.2485,0.34562108,282.4871794871795,0.1025641025641025
11.25,78.75,925.7261,311.97977,0.3370109,284.7435897435897,0.3076923076923077
11.25,79.0,918.0869,461.0186,0.50215137,294.35897435897436,0.4102564102564102
11.25,79.25,1192.5612,427.06366,0.3581063,282.94871794871796,0.8461538461538461
11.25,79.5,1450.6239,438.91443,0.30256942,287.6923076923077,1.7692307692307692
11.25,79.75,1322.4093,393.1575,0.29730394,279.61538461538464,1.4102564102564104
11.5,75.5,3305.3792,601.61896,0.18201208,223.1282051282051,2.923076923076923
11.5,75.75,2910.4375,615.5023,0.21148103,210.10256410256412,1.7692307692307692
11.5,76.0,2617.1536,598.59424,0.22871958,210.1794871794872,1.871794871794872
11.5,76.25,2740.351,890.3275,0.3248954,213.25641025641025,1.5128205128205128
11.5,76.5,1425.3112,473.7337,0.33237213,222.64102564102564,0.2564102564102564
11.5,76.75,1424.1783,326.63333,0.22934861,259.79487179487177,0.8461538461538461
11.5,77.0,952.51984,402.35477,0.4224109,265.05128205128204,0.1538461538461538
11.5,77.25,794.44464,210.56796,0.26505053,295.6923076923077,0.0769230769230769
11.5,77.5,700.1086,152.97963,0.21850844,291.02564102564105,0.0
11.5,77.75,744.5794,175.22058,0.23532827,291.94871794871796,0.1025641025641025
11.5,78.0,816.9733,351.0027,0.42963788,299.20512820512823,0.2051282051282051
11.5,78.25,847.9926,241.80498,0.28514987,284.05128205128204,0.1025641025641025
11.5,78.5,811.02997,225.99313,0.27864954,283.46153846153845,0.0256410256410256
11.5,78.75,1011.33154,330.03546,0.32633755,288.1794871794872,0.4358974358974359
11.5,79.0,1036.0248,375.04645,0.3620053,286.0,0.6666666666666666
11.5,79.25,1119.6967,399.19623,0.35652176,290.79487179487177,0.8461538461538461
11.5,79.5,1315.2949,456.8227,0.3473158,291.0769230769231,1.641025641025641
11.5,79.75,1427.0387,406.3286,0.28473553,282.84615384615387,1.641025641025641
11.75,75.25,3365.7383,544.5821,0.16180168,223.69230769230768,3.641025641025641
11.75,75.5,3377.1162,605.4163,0.17927021,215.8205128205128,2.9743589743589745
11.75,75.75,2471.7444,455.6094,0.18432707,207.64102564102564,1.0769230769230769
11.75,76.0,1681.3698,435.89154,0.25924787,215.51282051282053,0.1282051282051282
11.75,76.25,1070.2245,393.832,0.36799008,242.51282051282053,0.1025641025641025
11.75,76.5,862.6789,236.88354,0.27459064,266.1794871794872,0.0256410256410256
11.75,76.75,794.7757,217.91978,0.2741903,278.1794871794872,0.0256410256410256
11.75,77.0,841.7119,230.39017,0.27371618,275.79487179487177,0.0256410256410256
11.75,77.25,804.0077,216.31657,0.2690479,276.5128205128205,0.0256410256410256
11.75,77.5,843.6372,164.42436,0.19489937,280.6666666666667,0.0256410256410256
11.75,77.75,854.9993,218.86885,0.25598717,284.0769230769231,0.0769230769230769
11.75,78.0,1387.0907,368.76312,0.26585364,262.94871794871796,0.4102564102564102
11.75,78.25,903.73376,283.0674,0.3132199,268.05128205128204,0.1794871794871795
11.75,78.5,815.1089,213.02963,0.26135114,278.2307692307692,0.0512820512820512
11.75,78.75,881.6117,367.6111,0.4169762,302.4102564102564,0.6923076923076923
11.75,79.0,947.3997,354.4278,0.37410587,295.64102564102564,0.6923076923076923
11.75,79.25,1051.2598,427.9197,0.40705422,292.3076923076923,0.8974358974358975
11.75,79.5,1327.0757,374.6181,0.28228843,298.2564102564103,1.641025641025641
11.75,79.75,1370.7764,401.61957,0.29298693,282.46153846153845,1.5128205128205128
12.0,75.0,2756.6794,866.1248,0.31419134,215.76923076923077,1.6666666666666667
12.0,75.25,3475.6936,503.1634,0.14476633,222.02564102564105,3.871794871794872
12.0,75.5,3445.097,634.2336,0.18409745,205.8717948717949,2.7435897435897436
12.0,75.75,2087.1921,573.4237,0.2747345,215.71794871794873,0.9487179487179488
